"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RLTR17B_Mm_15_59466008",20.8758051105948,1.09681978393609,0.385357693994328,0.000184423784782585,0.0190800929575067
"(CTGGCC)n_X_150642555",78.7353139260592,1.09445773307771,0.372699363988581,0.000134230065593055,0.0161476455365218
"L2d2_8_80018733",20.0140412566518,1.09203546615277,0.336886389859404,5.57016788130497e-05,0.0103443869287062
"MTD_11_57193749",15.968002616482,1.08566685212553,0.407350625235604,0.000306207853705892,0.0247100989144835
"(AGC)n_11_59626685",25.953181842705,1.0846368856634,0.303195213541001,1.68847003862205e-05,0.00476891477708411
"L1MdF_I_11_57195367",45.5775266766807,1.08345200070586,0.467300472969752,0.000694912766763551,0.0361457019971819
"(GCC)n_4_133479873",51.2210626158807,1.08162604566323,0.405122284011235,0.000293420221561123,0.024253944976138
"G-rich_11_116809710",22.7163228389259,1.07874878436108,0.31063561849876,2.51089257152513e-05,0.00633193301697819
"L1MdF_I_11_57196603",14.9982795358804,1.0766486405046,0.442567543442153,0.000580252800084182,0.0335146423017948
"MIRb_4_42918195",32.1702660654378,1.06533809489634,0.372241790121499,0.000170794634099527,0.0184824660747396
"(GGCTGC)n_19_37151776",80.4765343453325,1.05757028007755,0.357559380229716,0.000128629174245079,0.0157879747971502
"ORR1B1_1_179915934",14.4208485840444,1.05723637958601,0.479317057133687,0.000985503242171957,0.0432709986777054
"MER20_4_58943851",35.8150218544354,1.05613530696101,0.266786719871148,3.81129880283074e-06,0.00204670712563562
"A-rich_7_75354110",14.8007861887994,1.05331857005455,0.410104118710561,0.000401021523750993,0.0274669240301964
"B1F1_4_42927421",26.1447028943177,1.05032210496502,0.334584166897944,7.61110839070181e-05,0.0119960463150148
"RLTR20A4_18_40665721",28.5095308368479,1.0498259482993,0.310428781527488,3.45754763561441e-05,0.00762929495471042
"B3_X_104955172",30.1849758689927,1.04708613879464,0.359483292835031,0.000152519191190256,0.0173002089798297
"(C)n_2_102616947",13.7320874606614,1.04516670049427,0.409647626545725,0.000430136311486052,0.0285182393934555
"RLTR15_18_12903976",35.1998242837965,1.04381208078023,0.273872491641427,6.82573715503482e-06,0.00283509000304123
"L1MA4_11_46153540",13.8429666121563,1.04361885560178,0.422384216677711,0.000539677448616133,0.0321574891534052
"G-rich_10_67748321",170.784061455877,1.04217059186805,0.196606118304501,6.30726961778562e-09,2.22678153855921e-05
"(ATCATC)n_7_83927946",24.2032090829644,1.02885612333932,0.367437469767412,0.000219166282090918,0.0207722566153553
"MamRep434_X_40746376",61.2200647187891,1.02752121478223,0.285104456483151,1.49742063421038e-05,0.00443879306821159
"B4A_2_102596210",17.2160360548447,1.02718378320338,0.340871784355394,0.00012068149842085,0.0155906373849719
"(GCCC)n_5_37025922",90.5556036204567,1.02342340001064,0.224135038434184,2.57205028919387e-07,0.000302687451533299
"(CGC)n_5_34154275",57.8742587621459,1.02221822977727,0.385685980184922,0.000317897973998375,0.0252210965663205
"MER5A_8_80020053",16.7926597006617,1.01688114534484,0.434993802215418,0.000736959353274986,0.0370019095290001
"AmnL2-1_11_74284215",15.4938941481013,1.01523963610413,0.363930338334796,0.000235933091702832,0.0218481778428026
"URR1B_6_8663959",23.9346247505507,1.01517875275537,0.317365597425512,6.4628948986308e-05,0.011149277885549
"(GCGGTG)n_18_86413687",67.503321801959,1.01291304178803,0.222622608820323,2.79693474919569e-07,0.000303833173293396
"B3_4_58945177",17.400726642741,1.01069768901689,0.419195714837729,0.000612070408436333,0.0345746332317516
"B1_Mur1_2_28338690",22.8000897689593,1.00905044020383,0.31769174600957,6.77882723715522e-05,0.0112624233227184
"(CCGC)n_6_38528675",97.6324879236785,1.00894286433022,0.223614383040977,3.4124675241534e-07,0.000356969380563662
"(CCG)n_14_76652717",25.1944983906006,1.00832551026983,0.348755441590699,0.000169923731593301,0.0184589456735431
"(CTC)n_2_160622095",14.5612132237907,1.00302014589437,0.390882032188152,0.000401637148579206,0.0274669240301964
"LTR33_1_132528193",17.5902381063954,1.0018110013277,0.354860510325173,0.000214231473464403,0.0205807950222061
